"","Ano","Codigo_Programa","Codigo_Actividad_u_Obra","Vigente","Devengado","Codigo_Economico_Nivel_4","Codigo_Departamento","Codigo_Municipio","Codigo_Fuente_agregada","Codigo_Renglon","ej"
"71708",2015,11,1102000002000,31188,31188,2112000,16,1601,50,122,1
"71713",2015,11,1102000002000,17600,17600,2112000,17,1701,50,122,1
"71716",2015,11,1102000002000,12986,12986,2112000,18,1801,50,122,1
"71718",2015,11,1102000002000,8440,8440,2112000,19,1901,50,122,1
"71719",2015,11,1102000002000,13473,13473,2112000,20,2001,50,122,1
"71721",2015,11,1102000002000,9988,9988,2112000,21,2101,50,122,1
"71722",2015,11,1102000002000,16025,16025,2112000,22,2201,50,122,1
"71726",2015,11,1102000004000,44200,44200,2112000,7,701,10,185,1
"71728",2015,11,1102000004000,167960,167960,2112000,7,704,10,185,1
"71730",2015,11,1102000004000,388960,388960,2112000,8,801,10,185,1
"71731",2015,11,1102000004000,35360,35360,2112000,8,803,10,185,1
"71732",2015,11,1102000004000,44200,44200,2112000,8,805,10,185,1
"71733",2015,11,1102000004000,26520,26520,2112000,8,806,10,185,1
"71735",2015,11,1102000004000,18984,17176,2112000,10,1003,10,185,0
"71736",2015,11,1102000004000,6328,6328,2112000,10,1008,10,185,1
"71737",2015,11,1102000004000,6328,6328,2112000,10,1014,10,185,1
"71738",2015,11,1102000004000,37968,37968,2112000,10,1018,10,185,1
"71739",2015,11,1102000004000,17680,17680,2112000,12,1201,10,185,1
"71741",2015,11,1102000004000,132600,132600,2112000,12,1204,10,185,1
"71742",2015,11,1102000004000,194480,194480,2112000,12,1206,10,185,1
"71743",2015,11,1102000004000,79560,79560,2112000,13,1301,10,185,1
"71745",2015,11,1102000004000,44200,44200,2112000,13,1309,10,185,1
"71746",2015,11,1102000004000,17680,17680,2112000,13,1312,10,185,1
"71747",2015,11,1102000004000,88400,88400,2112000,13,1317,10,185,1
"71748",2015,11,1102000004000,35360,35360,2112000,13,1324,10,185,1
"71749",2015,11,1102000004000,70720,70720,2112000,13,1326,10,185,1
"71750",2015,11,1102000004000,61880,61880,2112000,13,1327,10,185,1
"71751",2015,11,1102000004000,132600,132600,2112000,14,1401,10,185,1
"71752",2015,11,1102000004000,97240,97240,2112000,14,1406,10,185,1
"71753",2015,11,1102000004000,97240,97240,2112000,14,1410,10,185,1
"71754",2015,11,1102000004000,256360,256360,2112000,14,1413,10,185,1
"71755",2015,11,1102000004000,70720,70720,2112000,15,1501,10,185,1
"71756",2015,11,1102000004000,70720,70720,2112000,15,1504,10,185,1
"71758",2015,11,1102000004000,185640,185640,2112000,16,1601,10,185,1
"71763",2015,11,1102000004000,61880,61880,2112000,17,1709,10,185,1
"71764",2015,11,1102000004000,8840,8840,2112000,17,1713,10,185,1
"71765",2015,11,1102000004000,29832,29832,2112000,18,1803,10,185,1
"71766",2015,11,1102000004000,9040,9040,2112000,19,1910,10,185,1
"71769",2015,12,1202000001000,64597,15964,2112000,1,101,10,133,0
"71773",2015,12,1202000001000,24909,24908.4,2112000,1,101,50,185,1
"71774",2015,12,1202000001000,59513,59513,2112000,9,901,50,185,1
"71775",2015,12,1202000001000,34726,34726,2112000,13,1301,50,185,1
"71777",2015,12,1202000001000,572000,572000,2112000,1,101,50,189,1
"71826",2015,12,1202000002000,56166,56166,2112000,1,101,50,122,1
"71847",2015,12,1202000002000,159003,159002.91,2112000,4,401,50,122,1
"71866",2015,12,1202000002000,307168,307167.3,2112000,7,701,50,122,1
"71881",2015,12,1202000002000,239753,239752.92,2112000,8,801,50,122,1
"71888",2015,12,1202000002000,92614,92613.18,2112000,9,901,50,122,1
"71894",2015,12,1202000002000,2667,2666.68,2112000,10,1001,50,122,1
"71911",2015,12,1202000002000,198259,198258.66,2112000,12,1201,50,122,1
"71945",2015,12,1202000002000,189750,189750,2112000,14,1401,50,122,1
"71959",2015,12,1202000002000,2050,2049.3,2112000,15,1501,50,122,1
"71961",2015,12,1202000002000,546956,546955.7,2112000,16,1601,50,122,1
"71988",2015,12,1202000004000,250000,250000,2112000,4,402,20,185,1
"71990",2015,12,1202000004000,250000,250000,2112000,4,404,20,185,1
"71999",2015,12,1202000004000,157663,157663,2112000,7,701,20,185,1
